Sr.No,UIN,Sum Assured,Final Addition Bonus Years,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,40+
1,512N277V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
2,512N283V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
3, 512N278V02,50000-199999,1.5,1.5,1.5,1.5,1.5,3,3,3,3,3,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,200000 and +,2,2,2,2,2,4,4,4,4,4,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,512N280V02,50000-199999,1.5,1.5,1.5,1.5,1.5,3,3,3,3,3,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,200000 and +,2,2,2,2,2,4,4,4,4,4,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,512N297V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
6,512N304V01,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
6,512N304V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
7,512N296V02,50000-199999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,200000 and +,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,512N299V01,50000-199999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,200000 and +,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8,512N299V02,50000-199999,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,200000 and +,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9,512N312V01,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
9,512N312V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
10,512N306V01,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
10, 512N279V02,50000-199999,1,1.5,2,2.5,3,4,5,8,15,23,33,43,54,65,76,90,110,130,155,170,185,205,225,250,275,300,300
,,200000 and +,2,2.5,3,3.5,5,7,10,15,25,35,45,55,67,79,91,110,130,155,180,205,230,255,280,305,330,355,355
